RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,Average Home Price 2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,Average Home Price 2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,Average Home Price 2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,Average Home Price 2019
8,15,Arizona,State,AZ,221129,222276,223629,224910,226091,227515,229243,230451,231736,233017,234535,235821,228362.75,237301,239079,240805,242403,244027,245653,247137,248402,249760,250866,251809,252646,245824,253784,254913,255932,256413,257568,259226,261137,262811,264021,265427,266789,268679,260558.3333,270514,272472,274738,277788,280583,283212,285973,289487,293673,298207,303230,284534.2727
53,16,Tennessee,State,TN,155051,155810,156697,157777,158932,160072,161167,162256,163204,164118,165054,166061,160516.5833,167050,168139,169115,170129,171101,172166,173266,174297,175300,176247,177020,177777,172633.9167,178604,179386,180130,180809,181641,182456,183240,184096,185015,185946,186799,187650,182981,188508,189596,190802,192080,193337,194663,196104,197633,199272,201062,203134,195108.2727
32,17,Missouri,State,MO,141609,142318,143086,143794,144339,144911,145468,146146,146974,147787,148556,149240,145352.3333,149937,150585,151361,152220,153177,154000,154784,155533,156091,156624,157136,157850,154108.1667,158589,159332,159947,160517,161225,161893,162439,162689,163036,163442,163925,164363,161783.0833,164820,165396,166078,166864,167631,168595,169786,171320,172972,174733,176609,169527.6364
27,18,Maryland,State,MD,291620,292589,293579,294296,294801,295603,296043,296968,297780,299055,300318,301515,296180.5833,302043,302792,303597,305029,306202,307301,308264,308789,309050,309164,309562,310152,306828.75,311052,311774,312157,312397,312961,313712,314031,314193,314228,314416,314463,314676,313338.3333,315166,315781,316824,317936,319204,320547,322609,325184,328298,331615,335260,322584
60,19,Wisconsin,State,WI,161784,162633,163506,164404,165277,166218,167164,168117,168932,169659,170519,171584,166649.75,172836,173918,175057,176040,177228,178154,179058,179727,180542,181330,182100,182711,178225.0833,183225,184012,184916,185941,186783,187629,188480,189310,189999,190855,191478,192189,187901.4167,192799,193619,194401,195279,196328,197620,199057,200766,202692,204678,207018,198568.8182
31,20,Minnesota,State,MN,222014,223001,224221,225745,227473,229069,230406,231372,232384,233307,234588,235984,229130.3333,237560,239149,240748,242186,243404,244418,245398,246572,247600,248628,249425,250258,244612.1667,251150,251996,252624,253299,254271,255603,256873,257756,258670,259447,260173,260830,256057.6667,261532,262457,263579,264800,265988,267149,268558,270382,272402,274707,277276,268075.4545
10,21,Colorado,State,CO,342268,344985,347838,350249,352504,354709,356686,358569,360568,362836,364961,367490,355305.25,369783,372039,374078,376586,379436,382142,384571,386602,388479,390301,392202,393350,382464.0833,394061,395026,395929,396803,397278,398276,399380,400468,401394,401914,402363,403170,398838.5,404804,406350,408141,409968,412165,414252,416666,419556,422898,426823,431100,415702.0909
4,22,Alabama,State,AL,127296,127553,127844,128179,128536,128810,129136,129543,130094,130592,130987,131518,129174,132066,132656,133160,133706,134320,135010,135739,136372,136914,137400,137951,138373,135305.5833,138849,139345,139884,140391,140903,141583,142291,142904,143353,143854,144473,145213,141920.25,145941,146718,147558,148460,149393,150247,151129,152199,153504,154891,156265,150573.1818
51,23,South Carolina,State,SC,165459,166043,166540,167363,168068,168872,169611,170339,170999,171643,172343,173073,169196.0833,174050,175057,176301,177299,178205,178978,179766,180581,181387,182095,182845,183625,179182.4167,184423,185197,185737,186349,186837,187495,188158,188833,189400,189947,190479,191061,187826.3333,191632,192258,193029,193874,194966,196058,197239,198490,199944,201582,203328,196581.8182
25,24,Louisiana,State,LA,161927,162074,162569,163116,163732,164036,164358,164649,165062,165440,165984,166550,164124.75,167258,167822,168059,168050,167919,168045,168084,168304,168353,168529,168413,168173,168084.0833,167867,167816,167945,168125,168561,169004,169444,169577,169718,169776,170024,170474,169027.5833,170989,171403,171823,172364,172815,173262,173819,174603,175512,176509,177548,173695.1818
