RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,Average Home Price 2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,Average Home Price 2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,Average Home Price 2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,Average Home Price 2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,Average Home Price 2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,Average Home Price 2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,Average Home Price 2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,Average Home Price 2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,Average Home Price 2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,Average Home Price 2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,Average Home Price 2019
16,8,Georgia,State,GA,142518,141888,141287,141043,140860,140486,139538,138279,136740,135413,134009,132867,138744,131635,130623,129313,127867,126206,124741,123632,122984,122708,122455,122152,121493,125484.0833,121002,120499,120572,120759,121162,121587,122099,122427,122591,122806,123404,124240,121929,125295,126392,127464,128471,129569,130766,131981,133336,134767,136223,137450,138730,131703.6667,139817,140894,141761,142633,143389,144088,144847,145557,146317,147014,147736,148391,144370.3333,149032,149641,150235,150920,151758,152662,153436,154190,154914,155604,156285,156947,152968.6667,157788,158611,159581,160530,161408,162116,162742,163381,163914,164635,165429,166400,162211.25,167203,168082,168950,169861,170775,171832,173021,174188,175558,176843,178230,179560,172841.9167,180983,182345,183521,184728,186024,187405,188743,190000,191178,192333,193444,194455,187929.9167,195357,196146,197140,198144,199220,200060,200890,201748,202570,203268,203664,204115,200193.5,204736,205685,206630,207629,208633,209862,211208,212703,214359,216285,218609,210576.2727
18,39,Hawaii,State,HI,460236,463700,464668,467228,467598,471037,473059,475297,476707,477711,479851,479330,471368.5,478722,476622,475548,472727,471064,469665,468864,467005,464733,463712,461346,460809,469234.75,460479,461307,462885,464149,466652,466698,467912,467541,469610,471188,474449,476474,467445.3333,478533,480141,482098,485225,486021,486993,487911,493456,499131,504815,509100,514157,492298.4167,517492,520705,522342,524545,527116,531516,535097,537674,538408,538683,539707,540891,531181.3333,543154,544643,547094,549124,552002,553545,555436,555512,556090,557561,559481,560837,552873.25,562507,564961,567356,569376,571023,573685,576537,580933,585350,588942,591318,594026,577167.8333,596501,598594,600714,603549,608012,611646,614605,615347,617321,619963,623786,626874,611409.3333,629457,632052,634374,636237,636829,637638,639186,641919,643400,643984,643871,644128,638589.5833,644715,645554,646593,646166,645553,645330,646787,648170,648610,648655,647732,647231,646758,646862,647038,647278,648869,651140,653409,654476,655730,658385,662045,667005,653839.7273
20,38,Idaho,State,ID,168766,167952,166686,166015,165286,163751,161719,159738,157906,156106,154273,152514,161726,151084,149540,148372,146696,145285,144517,144412,144208,144079,144119,144459,144675,145953.8333,144830,145318,145917,147258,148520,149869,151192,153058,154963,156734,158058,159677,151282.8333,161605,163230,165153,166486,168238,169601,171185,172426,173487,174503,175571,176264,169812.4167,176604,177198,177793,178482,178813,179216,179344,179295,179443,179740,180348,181149,178952.0833,182030,183045,183838,185003,185974,187132,188089,189384,190435,191522,192524,193853,187735.75,195740,197292,198833,199624,200924,202080,203518,204848,206510,208263,209877,211350,203238.25,212185,213422,214638,216786,218557,220442,222235,224192,226293,228197,230348,232400,221641.25,234720,237061,239533,242143,245314,248908,252539,255353,257725,260028,262600,265046,250080.8333,267603,269719,272218,274226,276566,278480,280801,283306,285847,287951,289209,290720,279720.5,292431,295131,297674,300642,303470,306771,310129,314187,318865,324480,331126,308627.8182
21,4,Illinois,State,IL,188945,188677,187297,187169,186017,186040,183847,182699,180881,179894,177965,176316,183812.25,174671,173403,172232,170349,169047,167180,166727,165610,165039,163251,162340,160869,167559.8333,160088,158524,158151,157662,157655,157211,156586,156014,155492,155830,156373,156953,157211.5833,157630,158532,159158,160076,160693,161915,163051,164666,166086,167672,168491,169545,163126.25,170163,171084,171485,171656,172083,172815,173578,174010,174548,174853,175432,175830,173128.0833,176205,176323,176833,177636,178417,178647,178923,179167,179506,179750,180047,180512,178497.1667,181112,182159,183052,183801,184312,184967,185748,186492,187126,187830,188692,189625,185409.6667,190627,191399,192316,193157,193963,194592,195138,195834,196602,197439,198208,199049,194860.3333,199907,200581,200971,201368,201946,202688,203199,203599,203965,204291,204637,204873,202668.75,205001,205282,205617,206159,206712,207213,207535,207630,207350,207039,206833,206978,206612.4167,207338,207604,208034,208433,208867,209406,210326,211576,213261,215137,217105,210644.2727
22,14,Indiana,State,IN,117960,118018,117974,118058,118007,117970,117798,117497,117037,116565,116088,115730,117391.8333,115418,115046,114691,114244,113853,113518,113399,113477,113612,113666,113657,113529,114009.1667,113375,113259,113250,113315,113423,113442,113422,113343,113357,113495,113532,113630,113403.5833,113723,113960,114138,114369,114607,114918,115195,115481,115721,115913,116228,116589,115070.1667,117013,117376,117790,118140,118458,118733,119112,119493,119859,120224,120605,120976,118981.5833,121247,121483,121702,122012,122308,122608,122750,122922,123159,123428,123784,124170,122631.0833,124703,125169,125519,125804,126188,126729,127426,128088,128758,129367,129886,130326,127330.25,130766,131378,132129,132960,133765,134492,135082,135746,136401,137280,138119,138998,134759.6667,139664,140405,141277,142271,143188,144124,145153,146119,146895,147437,148123,148984,144470,150036,150822,151528,152087,152880,153613,154350,155082,155879,156687,157243,157689,153991.3333,158179,158955,159752,160657,161505,162489,163531,164682,165978,167442,169156,162938.7273
19,29,Iowa,State,IA,121559,121650,121874,122041,122116,122022,121814,121551,121214,120837,120457,120070,121433.75,119789,119464,119105,118730,118387,118167,118043,118039,118089,118125,118193,118265,118533,118211,118139,118126,118248,118440,118632,118886,119109,119386,119771,120177,120570,118974.5833,120998,121441,121694,121794,121898,122157,122399,122657,122880,123079,123233,123465,122307.9167,123702,124025,124461,124999,125451,125754,125981,126162,126389,126602,126834,127032,125616,127343,127632,127977,128300,128717,129132,129577,130047,130509,130973,131458,131887,129462.6667,132230,132586,132963,133325,133691,134105,134571,135008,135384,135781,136195,136685,134377,137282,137869,138460,139000,139501,140020,140481,140968,141443,141906,142415,142943,140190.6667,143311,143638,143960,144508,145086,145450,145785,146161,146681,147171,147526,147883,145596.6667,148323,148943,149507,149970,150285,150747,151147,151670,152059,152484,152706,152936,150898.0833,153186,153405,153676,153941,154337,154744,155246,155649,156111,156588,157308,154926.4545
23,32,Kansas,State,KS,124381,124214,124232,124199,124197,124030,123723,123257,122775,122427,122122,121809,123447.1667,121476,121198,120681,120073,119628,119288,119073,118862,118744,118496,118239,117997,119479.5833,117966,118047,118209,118359,118394,118539,118658,118832,118851,118931,119081,119281,118595.6667,119360,119328,119547,119836,120183,120267,120362,120434,120640,120878,121110,121376,120276.75,121602,121857,121829,121854,121870,122099,122417,122794,123193,123514,123852,124151,122586,124534,124871,125350,125841,126383,126936,127392,127816,128132,128528,128872,129216,126989.25,129536,129980,130407,130800,131255,131736,132274,132767,133271,133748,134202,134694,132055.8333,135216,135792,136434,137117,137618,138018,138460,139024,139675,140331,141056,141794,138377.9167,142502,143126,143672,144198,144839,145491,145995,146420,146890,147392,147992,148489,145583.8333,149032,149496,149984,150459,150970,151614,152331,152974,153518,153949,154147,154370,151903.6667,154695,155260,155893,156616,157383,158156,159031,160083,161284,162683,164336,158674.5455
24,25,Kentucky,State,KY,114277,114275,114328,114426,114531,114485,114355,114180,114031,113868,113500,113062,114109.8333,112502,111982,111461,111021,110666,110400,110186,110025,109834,109642,109612,109623,110579.5,109708,109773,109870,109996,110052,110022,109989,109918,110009,110099,110214,110262,109992.6667,110391,110546,110779,110898,111060,111259,111519,111896,112150,112445,112651,112895,111540.75,112982,113152,113209,113417,113607,113930,114259,114437,114623,114798,115088,115445,114078.9167,115932,116292,116691,117001,117381,117657,117918,118296,118737,119145,119504,119838,117866,120224,120719,121226,121773,122262,122830,123359,123907,124418,125033,125658,126285,123141.1667,126803,127296,127900,128583,129323,129989,130672,131320,131994,132591,133320,134000,130315.9167,134743,135414,136065,136608,137117,137671,138284,138775,139203,139593,139841,140155,137789.0833,140555,141208,141810,142456,143242,144095,144907,145529,146134,146691,147172,147592,144282.5833,147993,148457,149003,149634,150259,150919,151671,152737,153942,155323,156926,151533.0909
25,24,Louisiana,State,LA,152119,152302,152569,152499,152506,152424,152261,151998,151833,151669,151447,151065,152057.6667,150295,149485,148577,147983,147450,147132,146977,146901,146767,146707,146608,146501,147615.25,146490,146461,146621,146833,147115,147253,147196,147189,147251,147324,147266,147268,147022.25,147349,147616,147906,148101,148324,148684,149191,149638,149863,150050,150298,150696,148976.3333,151181,151596,151896,152145,152143,152047,151924,152062,152296,152571,153083,153427,152197.5833,153721,153926,154376,154789,155238,155653,156141,156431,156803,157203,157485,157853,155801.5833,158052,158376,158425,158670,159050,159605,160095,160545,160961,161295,161556,161698,159860.6667,161927,162074,162569,163116,163732,164036,164358,164649,165062,165440,165984,166550,164124.75,167258,167822,168059,168050,167919,168045,168084,168304,168353,168529,168413,168173,168084.0833,167867,167816,167945,168125,168561,169004,169444,169577,169718,169776,170024,170474,169027.5833,170989,171403,171823,172364,172815,173262,173819,174603,175512,176509,177548,173695.1818
28,40,Maine,State,ME,191833,191516,191580,192340,193199,192858,191911,190814,190190,189532,188741,187792,191025.5,187769,188125,188424,187732,187053,186683,186730,186580,186365,186106,185741,185343,186887.5833,184686,183859,183120,182900,182952,183327,183776,184116,184306,184530,185362,186242,184098,186961,187343,187600,187491,187330,187283,187277,187633,187856,188225,188169,188065,187602.75,188015,187936,187858,188274,188981,189591,189857,189755,189944,190157,190368,190392,189260.6667,190359,191018,192112,192796,193262,193571,194436,195338,195865,196293,196727,197974,194145.9167,199204,200075,200510,201363,202086,202779,203003,203747,204985,206354,207863,208856,203402.0833,209894,210727,211621,212813,214182,215679,217184,218252,219107,219847,220608,221375,215940.75,222647,224298,226050,226898,227809,228897,230294,231477,232313,232879,233397,234128,229257.25,234276,234482,234500,235351,236531,238229,239758,240828,241806,242846,244134,245368,239009.0833,247117,248861,250851,252757,254536,255991,257654,260103,263065,266378,269753,257006
